hour,susceptible,exposed,infected,hospitalized,recovered,deceased
163,198050,0,0,0,0,0.0
164,198050,0,0,0,0,0.0
165,198050,0,0,0,0,0.0
166,198050,0,0,0,0,0.0
167,198050,0,0,0,0,0.0
168,198050,0,0,0,0,0.0
169,198050,0,0,0,0,0.0
170,198050,0,0,0,0,0.0
171,198050,0,0,0,0,0.0
172,198050,0,0,0,0,0.0
173,198050,0,0,0,0,0.0
174,198050,0,0,0,0,0.0
175,198050,0,0,0,0,0.0
176,198050,0,0,0,0,0.0
177,198050,0,0,0,0,0.0
178,198050,0,0,0,0,0.0
179,198050,0,0,0,0,0.0
180,198050,0,0,0,0,0.0
181,198050,0,0,0,0,0.0
182,198050,0,0,0,0,0.0
183,198050,0,0,0,0,0.0
184,198050,0,0,0,0,0.0
185,198050,0,0,0,0,0.0
186,198050,0,0,0,0,0.0
187,198050,0,0,0,0,0.0
188,198050,0,0,0,0,0.0
189,198050,0,0,0,0,0.0
190,198050,0,0,0,0,0.0
191,198050,0,0,0,0,0.0
192,198050,0,0,0,0,0.0
193,198050,0,0,0,0,0.0
194,198050,0,0,0,0,0.0
195,198050,0,0,0,0,0.0
196,198050,0,0,0,0,0.0
197,198050,0,0,0,0,0.0
198,198050,0,0,0,0,0.0
199,198050,0,0,0,0,0.0
200,198050,0,0,0,0,0.0
201,198050,0,0,0,0,0.0
202,198050,0,0,0,0,0.0
203,198050,0,0,0,0,0.0
204,198050,0,0,0,0,0.0
205,198050,0,0,0,0,0.0
206,198050,0,0,0,0,0.0
207,198050,0,0,0,0,0.0
208,198050,0,0,0,0,0.0
209,198050,0,0,0,0,0.0
210,198050,0,0,0,0,0.0
211,198050,0,0,0,0,0.0
212,198050,0,0,0,0,0.0
213,198050,0,0,0,0,0.0
214,198050,0,0,0,0,0.0
215,198050,0,0,0,0,0.0
216,198050,0,0,0,0,0.0
217,198050,0,0,0,0,0.0
218,198050,0,0,0,0,0.0
219,198050,0,0,0,0,0.0
220,198050,0,0,0,0,0.0
221,198050,0,0,0,0,0.0
222,198050,0,0,0,0,0.0
223,198050,0,0,0,0,0.0
224,198050,0,0,0,0,0.0
225,198050,0,0,0,0,0.0
226,198050,0,0,0,0,0.0
227,198050,0,0,0,0,0.0
228,198050,0,0,0,0,0.0
229,198050,0,0,0,0,0.0
230,198050,0,0,0,0,0.0
231,198050,0,0,0,0,0.0
232,198050,0,0,0,0,0.0
233,198050,0,0,0,0,0.0
234,198050,0,0,0,0,0.0
235,198050,0,0,0,0,0.0
236,198050,0,0,0,0,0.0
237,198050,0,0,0,0,0.0
238,198050,0,0,0,0,0.0
239,198050,0,0,0,0,0.0
240,198050,0,0,0,0,0.0
241,198050,0,0,0,0,0.0
242,198050,0,0,0,0,0.0
243,198050,0,0,0,0,0.0
244,198050,0,0,0,0,0.0
245,198050,0,0,0,0,0.0
246,198050,0,0,0,0,0.0
247,198050,0,0,0,0,0.0
248,198050,0,0,0,0,0.0
249,198050,0,0,0,0,0.0
250,198050,0,0,0,0,0.0
251,198050,0,0,0,0,0.0
252,198050,0,0,0,0,0.0
253,198050,0,0,0,0,0.0
254,198050,0,0,0,0,0.0
255,198050,0,0,0,0,0.0
256,198050,0,0,0,0,0.0
257,198050,0,0,0,0,0.0
258,198050,0,0,0,0,0.0
259,198050,0,0,0,0,0.0
260,198050,0,0,0,0,0.0
261,198050,0,0,0,0,0.0
262,198050,0,0,0,0,0.0
263,198050,0,0,0,0,0.0
264,198050,0,0,0,0,0.0
265,198050,0,0,0,0,0.0
266,198050,0,0,0,0,0.0
267,198050,0,0,0,0,0.0
268,198050,0,0,0,0,0.0
269,198050,0,0,0,0,0.0
270,198050,0,0,0,0,0.0
271,198050,0,0,0,0,0.0
272,198050,0,0,0,0,0.0
273,198050,0,0,0,0,0.0
274,198050,0,0,0,0,0.0
275,198050,0,0,0,0,0.0
276,198050,0,0,0,0,0.0
277,198050,0,0,0,0,0.0
278,198050,0,0,0,0,0.0
279,198050,0,0,0,0,0.0
280,198050,0,0,0,0,0.0
281,198050,0,0,0,0,0.0
282,198050,0,0,0,0,0.0
283,198050,0,0,0,0,0.0
284,198050,0,0,0,0,0.0
285,198050,0,0,0,0,0.0
286,198050,0,0,0,0,0.0
287,198050,0,0,0,0,0.0
288,198050,0,0,0,0,0.0
289,198050,0,0,0,0,0.0
290,198050,0,0,0,0,0.0
291,198050,0,0,0,0,0.0
292,198050,0,0,0,0,0.0
293,198050,0,0,0,0,0.0
294,198050,0,0,0,0,0.0
295,198050,0,0,0,0,0.0
296,198050,0,0,0,0,0.0
297,198050,0,0,0,0,0.0
298,198050,0,0,0,0,0.0
299,198050,0,0,0,0,0.0
300,198050,0,0,0,0,0.0
301,198050,0,0,0,0,0.0
302,198050,0,0,0,0,0.0
303,198050,0,0,0,0,0.0
304,198050,0,0,0,0,0.0
305,198050,0,0,0,0,0.0
306,198050,0,0,0,0,0.0
307,198050,0,0,0,0,0.0
308,198050,0,0,0,0,0.0
309,198050,0,0,0,0,0.0
310,198050,0,0,0,0,0.0
311,198050,0,0,0,0,0.0
312,198050,0,0,0,0,0.0
313,198050,0,0,0,0,0.0
314,198050,0,0,0,0,0.0
315,198050,0,0,0,0,0.0
316,198050,0,0,0,0,0.0
317,198050,0,0,0,0,0.0
318,198050,0,0,0,0,0.0
319,198050,0,0,0,0,0.0
320,198050,0,0,0,0,0.0
321,198050,0,0,0,0,0.0
322,198050,0,0,0,0,0.0
323,198050,0,0,0,0,0.0
324,198050,0,0,0,0,0.0
325,198050,0,0,0,0,0.0
326,198050,0,0,0,0,0.0
327,198050,0,0,0,0,0.0
328,198050,0,0,0,0,0.0
329,198050,0,0,0,0,0.0
330,198050,0,0,0,0,0.0
331,198050,0,0,0,0,0.0
332,198050,0,0,0,0,0.0
333,198050,0,0,0,0,0.0
334,198050,0,0,0,0,0.0
335,198050,0,0,0,0,0.0
336,198050,0,0,0,0,0.0
337,198050,0,0,0,0,0.0
338,198050,0,0,0,0,0.0
339,198050,0,0,0,0,0.0
340,198050,0,0,0,0,0.0
341,198050,0,0,0,0,0.0
342,198050,0,0,0,0,0.0
343,198050,0,0,0,0,0.0
344,198050,0,0,0,0,0.0
345,198050,0,0,0,0,0.0
346,198050,0,0,0,0,0.0
347,198050,0,0,0,0,0.0
348,198050,0,0,0,0,0.0
349,198050,0,0,0,0,0.0
350,198050,0,0,0,0,0.0
351,198050,0,0,0,0,0.0
352,198050,0,0,0,0,0.0
353,198050,0,0,0,0,0.0
354,198050,0,0,0,0,0.0
355,198050,0,0,0,0,0.0
356,198050,0,0,0,0,0.0
357,198050,0,0,0,0,0.0
358,198050,0,0,0,0,0.0
359,198050,0,0,0,0,0.0
360,198050,0,0,0,0,0.0
361,198050,0,0,0,0,0.0
362,198050,0,0,0,0,0.0
363,198050,0,0,0,0,0.0
364,198050,0,0,0,0,0.0
365,198050,0,0,0,0,0.0
366,198050,0,0,0,0,0.0
367,198050,0,0,0,0,0.0
368,198050,0,0,0,0,0.0
369,198050,0,0,0,0,0.0
370,198050,0,0,0,0,0.0
371,198050,0,0,0,0,0.0
372,198050,0,0,0,0,0.0
373,198050,0,0,0,0,0.0
374,198050,0,0,0,0,0.0
375,198050,0,0,0,0,0.0
376,198050,0,0,0,0,0.0
