areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths28DaysByDeathDate
E06000014,York,ltla,2021-03-25,12069,313
E06000014,York,ltla,2021-03-24,12056,313
E06000014,York,ltla,2021-03-23,12049,313
E06000014,York,ltla,2021-03-22,12042,313
E06000014,York,ltla,2021-03-21,12030,312
E06000014,York,ltla,2021-03-20,12020,312
E06000014,York,ltla,2021-03-19,12014,312
E06000014,York,ltla,2021-03-18,12006,312
E06000014,York,ltla,2021-03-17,11996,312
E06000014,York,ltla,2021-03-16,11990,311
E06000014,York,ltla,2021-03-15,11977,310
E06000014,York,ltla,2021-03-14,11968,310
E06000014,York,ltla,2021-03-13,11960,309
E06000014,York,ltla,2021-03-12,11953,309
E06000014,York,ltla,2021-03-11,11945,309
E06000014,York,ltla,2021-03-10,11935,309
E06000014,York,ltla,2021-03-09,11928,309
E06000014,York,ltla,2021-03-08,11916,309
E06000014,York,ltla,2021-03-07,11897,309
E06000014,York,ltla,2021-03-06,11885,308
E06000014,York,ltla,2021-03-05,11871,307
E06000014,York,ltla,2021-03-04,11859,307
E06000014,York,ltla,2021-03-03,11845,307
E06000014,York,ltla,2021-03-02,11838,306
E06000014,York,ltla,2021-03-01,11826,306
E06000014,York,ltla,2021-02-28,11805,306
E06000014,York,ltla,2021-02-27,11796,306
E06000014,York,ltla,2021-02-26,11785,305
E06000014,York,ltla,2021-02-25,11771,305
E06000014,York,ltla,2021-02-24,11755,305
E06000014,York,ltla,2021-02-23,11737,305
E06000014,York,ltla,2021-02-22,11715,304
E06000014,York,ltla,2021-02-21,11697,303
E06000014,York,ltla,2021-02-20,11679,302
E06000014,York,ltla,2021-02-19,11655,301
E06000014,York,ltla,2021-02-18,11629,300
E06000014,York,ltla,2021-02-17,11604,298
E06000014,York,ltla,2021-02-16,11575,297
E06000014,York,ltla,2021-02-15,11560,297
E06000014,York,ltla,2021-02-14,11539,296
E06000014,York,ltla,2021-02-13,11527,292
E06000014,York,ltla,2021-02-12,11506,286
E06000014,York,ltla,2021-02-11,11488,283
E06000014,York,ltla,2021-02-10,11464,281
E06000014,York,ltla,2021-02-09,11442,279
E06000014,York,ltla,2021-02-08,11410,277
E06000014,York,ltla,2021-02-07,11376,276
E06000014,York,ltla,2021-02-06,11351,276
E06000014,York,ltla,2021-02-05,11328,273
E06000014,York,ltla,2021-02-04,11296,272
E06000014,York,ltla,2021-02-03,11257,267
E06000014,York,ltla,2021-02-02,11217,264
E06000014,York,ltla,2021-02-01,11179,261
